category,name,description,image,vegetaric,vegan,bio,menu,price,date
Süß & Salzig,Butter-Mandel-Kuchen,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Süß & Salzig,Milchreis, mit Zimt & Zucker,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-10-01
Süß & Salzig,Kirschkompott,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,1.5,2021-10-01
Süß & Salzig,Schokolade,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,1.5,2021-10-01
Süß & Salzig,M&M’s,150g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23368&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-10-01
Süß & Salzig,OREO Snack Pack,66g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23369&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.2,2021-10-01
Süß & Salzig,Snickers Doppelpack,80 g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23370&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.0,2021-10-01
Süß & Salzig,Twix Xtra,75 g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23370&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.0,2021-10-01
Süß & Salzig,BE-KIND,"Riegel, Nuss & Meersalz mit Zartbitterschokolade, 40g",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-10-01
Süß & Salzig,Eis Nuii Salted Caramel,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.9,2021-10-01
Süß & Salzig,Lisas Kesselchips, Rosmarin 50g,,Vegetarisch,Vegan,Bio,Kein Menü,2.5,2021-10-01
Süß & Salzig,ültje Erdnüsse,"pikant gewürzt, 50 g",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23374&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,2.0,2021-10-01
Aktion,Alt-Wiener Suppentopf mit Benediktiner Hell,"0,5 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Menü,8.9,2021-12-01
Aktion,Wiener Kalbsrahmgulasch mit Champignons und Nockerln,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,13.9,2021-12-01
Aktion,Apfelstrudel,mit Vanillesoße,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-12-01
Hauptgerichte,Chili con Carne,"vom Rind, mit Sour Cream & Brötchen",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23348&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-12-01
Hauptgerichte,Gemüsecurry mit Kokosreis,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23353&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,10.9,2021-12-01
Hauptgerichte,Rindergulasch nach ungarischer Art,mit Knöpfle,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,13.9,2021-12-01
Hauptgerichte,Fusilli mit Bolognese,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23350&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-12-01
Hauptgerichte,Fusilli mit BIO-Tomaten-Feta-Soße,,,Vegetarisch,Nicht vegan,Bio,Kein Menü,8.9,2021-12-01
Hauptgerichte,Currywurst mit Pommes frites,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.9,2021-12-01
Hauptgerichte,Frikadellen nach Hausmacher Art,mit Kräuter-Kartoffelsalat,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-12-01
Für unsere Kleinen,Kindermenü mit Pommes frites & Ketchup oder Mayonnaise,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-12-01
